==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      149 |      4 |  0.000000E+00 |  1.230537E+22 |             - |             -
     2 |      298 |      3 |  0.000000E+00 |  6.476510E+21 |  0.2886213716 |         ideal
     3 |      447 |      5 |  0.000000E+00 |  0.000000E+00 |  0.0263840830 |         ideal
     4 |      596 |      6 |  0.000000E+00 |  0.000000E+00 |  0.1502487562 |         nadir
     5 |      745 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0962230216 |         ideal
     6 |      894 |      8 |  0.000000E+00 |  0.000000E+00 |  0.1201014942 |         ideal
     7 |     1043 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0993921523 |         ideal
     8 |     1192 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0105046197 |         ideal
     9 |     1341 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0207796393 |             f
    10 |     1490 |     16 |  0.000000E+00 |  0.000000E+00 |  0.0115681452 |             f
    11 |     1639 |     20 |  0.000000E+00 |  0.000000E+00 |  0.2030461902 |         ideal
    12 |     1788 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0728946700 |         ideal
    13 |     1937 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0108667216 |             f
    14 |     2086 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0773647628 |         ideal
    15 |     2235 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0080800375 |             f
    16 |     2384 |     30 |  0.000000E+00 |  0.000000E+00 |  0.1741004207 |         ideal
    17 |     2533 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0127063849 |             f
    18 |     2682 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0015615249 |             f
    19 |     2831 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0054021125 |             f
    20 |     2980 |     37 |  0.000000E+00 |  0.000000E+00 |  0.0019696124 |             f
    21 |     3129 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0045705183 |             f
    22 |     3278 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0022718455 |             f
    23 |     3427 |     36 |  0.000000E+00 |  0.000000E+00 |  0.0021410137 |             f
    24 |     3576 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0020283287 |             f
    25 |     3725 |     44 |  0.000000E+00 |  0.000000E+00 |  0.0047039705 |             f
    26 |     3874 |     46 |  0.000000E+00 |  0.000000E+00 |  0.0000457737 |             f
    27 |     4023 |     48 |  0.000000E+00 |  0.000000E+00 |  0.0000438665 |             f
    28 |     4172 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0000421118 |             f
    29 |     4321 |     53 |  0.000000E+00 |  0.000000E+00 |  0.0000397281 |             f
    30 |     4470 |     53 |  0.000000E+00 |  0.000000E+00 |  0.0000397281 |             f
    31 |     4619 |     48 |  0.000000E+00 |  0.000000E+00 |  0.0010430907 |             f
    32 |     4768 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0010218031 |             f
    33 |     4917 |     51 |  0.000000E+00 |  0.000000E+00 |  0.0009817324 |             f
    34 |     5066 |     51 |  0.000000E+00 |  0.000000E+00 |  0.0009817324 |             f
    35 |     5215 |     51 |  0.000000E+00 |  0.000000E+00 |  0.0009817324 |             f
    36 |     5364 |     53 |  0.000000E+00 |  0.000000E+00 |  0.0009446859 |             f
    37 |     5513 |     53 |  0.000000E+00 |  0.000000E+00 |  0.0009446859 |             f
    38 |     5662 |     53 |  0.000000E+00 |  0.000000E+00 |  0.0009446859 |             f
    39 |     5811 |     53 |  0.000000E+00 |  0.000000E+00 |  0.0009446859 |             f
    40 |     5960 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0014647849 |             f
    41 |     6109 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0014647849 |             f
    42 |     6258 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0014386280 |             f
    43 |     6407 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0014386280 |             f
    44 |     6556 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0016217095 |             f
    45 |     6705 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0016217095 |             f
    46 |     6854 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0016217095 |             f
    47 |     7003 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0015937490 |             f
    48 |     7152 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0015937490 |             f
    49 |     7301 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0015667363 |             f
    50 |     7450 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0015406240 |             f
    51 |     7599 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0015406240 |             f
    52 |     7748 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0015153679 |             f
    53 |     7897 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0015153679 |             f
    54 |     8046 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0015153679 |             f
    55 |     8195 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0015153679 |             f
    56 |     8344 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0015153679 |             f
    57 |     8493 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0015153679 |             f
    58 |     8642 |     63 |  0.000000E+00 |  0.000000E+00 |  0.0014672610 |             f
    59 |     8791 |     63 |  0.000000E+00 |  0.000000E+00 |  0.0014672610 |             f
