==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      200 |      5 |  0.000000E+00 |  1.320000E+05 |             - |             -
     2 |      400 |      4 |  0.000000E+00 |  4.800000E+04 |  0.6653408175 |         ideal
     3 |      600 |      7 |  0.000000E+00 |  1.000000E+04 |  0.1993727599 |         ideal
     4 |      800 |      7 |  0.000000E+00 |  0.000000E+00 |  0.0216755357 |             f
     5 |     1000 |      9 |  0.000000E+00 |  0.000000E+00 |  0.3305741266 |         ideal
     6 |     1200 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0750468647 |             f
     7 |     1400 |      8 |  0.000000E+00 |  0.000000E+00 |  0.1479808846 |         ideal
     8 |     1600 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0277538536 |             f
     9 |     1800 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1258148631 |         ideal
    10 |     2000 |     10 |  0.000000E+00 |  0.000000E+00 |  0.0770156438 |         ideal
    11 |     2200 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0216916081 |             f
    12 |     2400 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0192547255 |             f
    13 |     2600 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0080276519 |         ideal
    14 |     2800 |     19 |  0.000000E+00 |  0.000000E+00 |  0.0136222072 |             f
    15 |     3000 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1675204540 |         ideal
    16 |     3200 |     27 |  0.000000E+00 |  0.000000E+00 |  0.0017787576 |             f
    17 |     3400 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0075714701 |             f
    18 |     3600 |     32 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    19 |     3800 |     36 |  0.000000E+00 |  0.000000E+00 |  0.0018448771 |             f
    20 |     4000 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0015843285 |             f
    21 |     4200 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0043908170 |             f
    22 |     4400 |     45 |  0.000000E+00 |  0.000000E+00 |  0.0019669713 |             f
    23 |     4600 |     48 |  0.000000E+00 |  0.000000E+00 |  0.0018440356 |             f
    24 |     4800 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0018064022 |             f
    25 |     5000 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0018064022 |             f
    26 |     5200 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0017702742 |             f
    27 |     5400 |     51 |  0.000000E+00 |  0.000000E+00 |  0.0023784228 |             f
    28 |     5600 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0034090431 |             f
    29 |     5800 |     57 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
    30 |     6000 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0007889464 |             f
    31 |     6200 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0011366594 |             f
    32 |     6400 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0011935448 |             f
    33 |     6600 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0011726054 |             f
    34 |     6800 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0011726054 |             f
    35 |     7000 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0011726054 |             f
    36 |     7200 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0011726054 |             f
    37 |     7400 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0011726054 |             f
    38 |     7600 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0011726054 |             f
    39 |     7800 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0011726054 |             f
    40 |     8000 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0279394645 |         nadir
    41 |     8200 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0004288967 |             f
    42 |     8400 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0004288967 |             f
    43 |     8600 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0004288967 |             f
    44 |     8800 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0004288967 |             f
    45 |     9000 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0004288967 |             f
    46 |     9200 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0004288967 |             f
    47 |     9400 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0004215020 |             f
    48 |     9600 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0004215020 |             f
    49 |     9800 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0004215020 |             f
    50 |    10000 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0004215020 |             f
    51 |    10200 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0003921614 |             f
    52 |    10400 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0003854000 |             f
    53 |    10600 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0003854000 |             f
    54 |    10800 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0003854000 |             f
    55 |    11000 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0003854000 |             f
    56 |    11200 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0003854000 |             f
    57 |    11400 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0006604173 |             f
    58 |    11600 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0006604173 |             f
    59 |    11800 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0006604173 |             f
    60 |    12000 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0006604173 |             f
    61 |    12200 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0006604173 |             f
    62 |    12400 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0006604173 |             f
    63 |    12600 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0006604173 |             f
    64 |    12800 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0006604173 |             f
    65 |    13000 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0010477884 |             f
    66 |    13200 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0010477884 |             f
    67 |    13400 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0010477884 |             f
    68 |    13600 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0010477884 |             f
    69 |    13800 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0010477884 |             f
    70 |    14000 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0012744895 |             f
    71 |    14200 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0012744895 |             f
    72 |    14400 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0012744895 |             f
    73 |    14600 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    74 |    14800 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    75 |    15000 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    76 |    15200 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    77 |    15400 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    78 |    15600 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    79 |    15800 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    80 |    16000 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    81 |    16200 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    82 |    16400 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    83 |    16600 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    84 |    16800 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    85 |    17000 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    86 |    17200 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    87 |    17400 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    88 |    17600 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0014195582 |             f
    89 |    17800 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0016322734 |             f
    90 |    18000 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0016322734 |             f
    91 |    18200 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0016322734 |             f
    92 |    18400 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0016322734 |             f
    93 |    18600 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0016322734 |             f
    94 |    18800 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0016322734 |             f
    95 |    19000 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0018378981 |             f
    96 |    19200 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0018378981 |             f
    97 |    19400 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0018378981 |             f
    98 |    19600 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0018378981 |             f
    99 |    19800 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0018378981 |             f
   100 |    20000 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0018378981 |             f
